ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
47	"ENSG00000183570"	"PCBP3"	chr21	+	45913950	45914025	45910901	45911030	45917587	45917629	47	0,0,0,0,1	0,0,0,0,0	2,0,0,0,0	0,1,0,0,0	174	99	1	1.0	NA,NA,NA,NA,1.0	1.0,0.0,NA,NA,NA	0.5
52	"ENSG00000182871"	"COL18A1"	chr21	+	45480069	45480156	45479901	45479964	45480466	45480520	52	4,3,0,3,0	1,0,0,0,0	0,3,5,1,1	0,0,0,0,0	186	99	1	1.0	0.68,1.0,NA,1.0,NA	NA,1.0,1.0,1.0,1.0	-0.107
53	"ENSG00000182871"	"COL18A1"	chr21	+	45480466	45480520	45479901	45479964	45480699	45480858	53	3,3,2,0,0	0,0,0,0,0	0,2,1,1,0	0,0,1,0,0	153	99	1	1.0	1.0,1.0,1.0,NA,NA	NA,1.0,0.393,1.0,NA	0.202
54	"ENSG00000182871"	"COL18A1"	chr21	+	45487446	45487509	45486860	45486992	45488417	45488444	54	0,0,3,1,0	0,0,1,0,0	0,7,4,1,2	0,0,0,0,0	162	99	1	1.0	NA,NA,0.647,1.0,NA	NA,1.0,1.0,1.0,1.0	-0.176
55	"ENSG00000182871"	"COL18A1"	chr21	+	45496499	45496568	45495357	45495432	45497049	45497092	55	2,1,6,0,1	0,0,0,0,0	2,7,7,4,0	0,0,0,0,1	168	99	1	1.0	1.0,1.0,1.0,NA,1.0	1.0,1.0,1.0,1.0,0.0	0.2
56	"ENSG00000182871"	"COL18A1"	chr21	+	45505133	45505278	45504415	45504556	45505357	45505431	56	1,2,4,1,1	0,0,0,0,0	0,4,5,1,1	1,0,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	0.0,1.0,1.0,1.0,1.0	0.2
58	"ENSG00000186866"	"POFUT2"	chr21	-	45266021	45266227	45263927	45265635	45267589	45267713	58	4,3,3,5,2	5,4,9,13,3	3,2,3,0,0	24,12,13,6,6	198	99	0.00123590071627	0.028781037930137626	0.286,0.273,0.143,0.161,0.25	0.059,0.077,0.103,0.0,0.0	0.175
59	"ENSG00000186866"	"POFUT2"	chr21	-	45267589	45267713	45263927	45265635	45269838	45270019	59	8,12,19,23,15	1,0,1,0,0	39,23,24,10,14	0,1,2,0,0	198	99	1	1.0	0.8,1.0,0.905,1.0,1.0	1.0,0.92,0.857,1.0,1.0	-0.014
60	"ENSG00000186866"	"POFUT2"	chr21	-	45269838	45270019	45263927	45265635	45278102	45278169	60	2,0,1,0,0	0,0,0,0,0	0,1,2,0,0	1,0,0,0,0	198	99	1	1.0	1.0,NA,1.0,NA,NA	0.0,1.0,1.0,NA,NA	0.333
61	"ENSG00000186866"	"POFUT2"	chr21	-	45269838	45270019	45263927	45265635	45285677	45285691	61	1,0,1,0,0	0,2,2,0,0	0,1,2,1,0	0,0,0,0,1	198	99	1	1.0	1.0,0.0,0.2,NA,NA	NA,1.0,1.0,1.0,0.0	-0.35
62	"ENSG00000186866"	"POFUT2"	chr21	-	45277016	45277142	45269838	45270019	45278102	45278169	62	15,12,13,15,18	1,0,0,0,0	29,19,13,14,19	0,0,0,0,0	198	99	1	1.0	0.882,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0	-0.024
63	"ENSG00000186866"	"POFUT2"	chr21	-	45277232	45277773	45277016	45277142	45278102	45278169	63	1,3,1,4,2	9,6,8,9,10	0,2,0,0,0	23,13,4,9,12	198	99	0.000462799369199	0.012848399428656471	0.053,0.2,0.059,0.182,0.091	0.0,0.071,0.0,0.0,0.0	0.103
64	"ENSG00000186866"	"POFUT2"	chr21	-	45278102	45278169	45263927	45265635	45285677	45285928	64	1,0,0,2,1	0,2,2,0,0	4,2,2,0,3	0,0,0,0,1	166	99	1	1.0	1.0,0.0,0.0,1.0,1.0	1.0,1.0,1.0,NA,0.641	-0.31
65	"ENSG00000186866"	"POFUT2"	chr21	-	45278102	45278169	45269838	45270019	45285677	45285928	65	2,0,0,2,1	0,0,0,0,0	3,2,2,0,3	0,0,0,1,0	166	99	1	1.0	1.0,NA,NA,1.0,1.0	1.0,1.0,1.0,0.0,1.0	0.2
66	"ENSG00000186866"	"POFUT2"	chr21	-	45282348	45282459	45278102	45278169	45285677	45285928	66	10,18,8,11,9	2,1,0,2,1	14,13,19,8,6	5,2,2,0,3	198	99	0.0391526404749	0.443341655435072	0.714,0.9,1.0,0.733,0.818	0.583,0.765,0.826,1.0,0.5	0.098
67	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282348	45282459	45283382	45283527	67	0,1,0,1,0	5,3,3,4,2	0,0,0,0,0	5,5,4,4,1	198	99	1	1.0	0.0,0.143,0.0,0.111,0.0	0.0,0.0,0.0,0.0,0.0	0.051
68	"ENSG00000186866"	"POFUT2"	chr21	-	45282803	45282938	45282368	45282398	45283382	45283527	68	1,0,0,1,2	2,4,0,1,1	0,0,0,0,0	0,0,1,0,0	198	99	1	1.0	0.2,0.0,NA,0.333,0.5	NA,NA,0.0,NA,NA	0.258
69	"ENSG00000186866"	"POFUT2"	chr21	-	45283382	45283527	45282348	45282459	45285677	45285691	69	7,10,11,11,9	3,4,1,2,2	12,9,11,14,8	7,3,7,0,0	198	99	0.980619445786	1.0	0.538,0.556,0.846,0.733,0.692	0.462,0.6,0.44,1.0,1.0	-0.027
70	"ENSG00000186866"	"POFUT2"	chr21	-	45283382	45283527	45282368	45282398	45285677	45285691	70	4,11,8,8,8	0,0,0,0,0	7,4,8,10,7	0,0,1,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.8,1.0,1.0	0.04
71	"ENSG00000186866"	"POFUT2"	chr21	-	45285268	45285328	45283351	45283527	45285677	45285928	71	0,0,0,0,0	2,7,8,7,7	0,0,1,0,1	7,4,7,10,7	159	99	1	1.0	0.0,0.0,0.0,0.0,0.0	0.0,0.0,0.082,0.0,0.082	-0.033
72	"ENSG00000186866"	"POFUT2"	chr21	-	45285677	45285928	45278102	45278169	45287740	45287884	72	8,10,7,8,11	0,0,0,0,0	29,18,17,20,14	0,0,0,2,1	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.833,0.875	0.058
74	"ENSG00000160255"	"ITGB2"	chr21	-	44888692	44888895	44886735	44886902	44893403	44893544	74	16,18,17,30,18	0,0,0,0,0	755,668,932,565,638	2,0,0,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	0.995,1.0,1.0,1.0,1.0	0.001
75	"ENSG00000160255"	"ITGB2"	chr21	-	44889275	44889495	44888692	44888895	44889977	44890222	75	40,29,34,54,39	1,0,0,2,0	1519,1369,1856,1121,1324	11,19,8,7,7	198	99	1	1.0	0.952,1.0,1.0,0.931,1.0	0.986,0.973,0.991,0.988,0.99	-0.009
76	"ENSG00000160255"	"ITGB2"	chr21	-	44889977	44890222	44888692	44888895	44893403	44893544	76	2,1,0,2,0	0,0,0,0,0	26,35,17,15,15	2,1,1,1,0	198	99	1	1.0	1.0,1.0,NA,1.0,NA	0.867,0.946,0.895,0.882,1.0	0.082
77	"ENSG00000160255"	"ITGB2"	chr21	-	44891808	44891996	44889977	44890222	44893403	44893544	77	32,26,29,53,31	1,1,0,0,0	1595,1342,1955,1172,1258	15,16,9,8,8	198	99	0.146943966643	1.0	0.941,0.929,1.0,1.0,1.0	0.982,0.977,0.991,0.987,0.987	-0.011
78	"ENSG00000160255"	"ITGB2"	chr21	-	44898541	44898613	44894970	44895060	44899066	44899162	78	0,0,0,0,0	20,16,9,24,16	2,5,7,4,1	749,664,836,583,637	171	99	1	1.0	0.0,0.0,0.0,0.0,0.0	0.002,0.004,0.005,0.004,0.001	-0.003
80	"ENSG00000160255"	"ITGB2"	chr21	-	44906914	44907095	44903364	44903535	44920820	44920855	80	23,18,24,31,18	0,0,0,0,0	852,722,950,596,698	7,1,1,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	0.984,0.997,0.998,1.0,1.0	0.004
81	"ENSG00000160255"	"ITGB2"	chr21	-	44908073	44908182	44906914	44907095	44910283	44910372	81	0,1,3,9,6	28,17,24,34,19	0,58,87,61,161	755,677,860,619,668	198	99	0.59911152213	1.0	0.0,0.029,0.059,0.117,0.136	0.0,0.041,0.048,0.047,0.108	0.019
82	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910372	44906914	44907095	44910724	44910785	82	52,40,50,59,38	0,0,0,0,1	1476,1485,1804,1374,1544	0,0,0,0,1	188	99	1	1.0	1.0,1.0,1.0,1.0,0.952	1.0,1.0,1.0,1.0,0.999	-0.009
83	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910372	44906914	44907095	44920820	44920855	83	27,17,23,33,20	0,0,0,0,0	713,645,815,585,628	2,0,0,2,1	188	99	1	1.0	1.0,1.0,1.0,1.0,1.0	0.995,1.0,1.0,0.994,0.997	0.003
84	"ENSG00000160255"	"ITGB2"	chr21	-	44910283	44910415	44906914	44907095	44910724	44910785	84	27,17,23,33,19	0,0,0,0,1	714,647,822,591,652	0,0,0,0,1	198	99	1	1.0	1.0,1.0,1.0,1.0,0.905	1.0,1.0,1.0,1.0,0.997	-0.018
85	"ENSG00000160255"	"ITGB2"	chr21	-	44910599	44910785	44910283	44910372	44920820	44920899	85	13,12,12,17,12	0,0,0,1,1	355,342,488,343,403	2,1,0,0,0	198	99	1	1.0	1.0,1.0,1.0,0.895,0.857	0.989,0.994,1.0,1.0,1.0	-0.046
86	"ENSG00000160255"	"ITGB2"	chr21	-	44910724	44910785	44906914	44907095	44920820	44920855	86	12,11,12,16,13	0,0,0,0,0	352,337,482,341,401	2,0,0,2,1	160	99	1	1.0	1.0,1.0,1.0,1.0,1.0	0.991,1.0,1.0,0.991,0.996	0.004
87	"ENSG00000160255"	"ITGB2"	chr21	-	44910724	44910785	44910283	44910372	44920820	44920855	87	37,34,39,43,31	0,0,0,1,1	1117,1178,1473,1133,1325	2,1,0,0,0	160	99	1	1.0	1.0,1.0,1.0,0.964,0.95	0.997,0.999,1.0,1.0,1.0	-0.016
90	"ENSG00000160255"	"ITGB2"	chr21	-	44920820	44921050	44910724	44910785	44931813	44931989	90	25,20,22,25,23	0,0,0,0,0	706,733,961,703,843	0,1,1,0,1	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,0.997,0.998,1.0,0.998	0.001
91	"ENSG00000184900"	"SUMO3"	chr21	-	44808996	44809118	44805616	44807040	44813975	44814104	91	51,58,49,52,49	0,0,0,0,0	76,80,106,89,89	2,0,1,0,1	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	0.95,1.0,0.981,1.0,0.978	0.018
92	"ENSG00000184900"	"SUMO3"	chr21	-	44809046	44809118	44805616	44807040	44813975	44814104	92	149,133,155,137,141	0,0,0,0,0	196,212,288,240,211	2,0,1,0,1	171	99	1	1.0	1.0,1.0,1.0,1.0,1.0	0.983,1.0,0.994,1.0,0.992	0.006
93	"ENSG00000184900"	"SUMO3"	chr21	-	44813861	44814104	44809046	44809118	44817947	44818129	93	33,40,18,31,42	12,5,10,8,6	49,64,55,57,43	4,1,8,3,2	198	99	3.6364211956e-05	0.0016262590152956815	0.579,0.8,0.474,0.66,0.778	0.86,0.97,0.775,0.905,0.915	-0.227
94	"ENSG00000184900"	"SUMO3"	chr21	-	44813975	44814104	44808996	44809118	44817947	44817968	94	96,113,95,101,104	12,5,10,8,6	151,169,201,177,156	4,1,8,3,2	198	99	8.20920767475e-07	7.728226703806536e-05	0.8,0.919,0.826,0.863,0.897	0.95,0.988,0.926,0.967,0.975	-0.1
97	"ENSG00000160223"	"ICOSLG"	chr21	-	44230053	44230089	44217013	44218244	44231279	44231444	97	0,0,0,1,0	0,0,0,0,0	0,1,0,0,0	0,0,0,1,0	135	99	1	1.0	NA,NA,NA,1.0,NA	NA,1.0,NA,0.0,NA	0.5
98	"ENSG00000160223"	"ICOSLG"	chr21	-	44230053	44230089	44222990	44229044	44231279	44231444	98	1,1,1,1,0	0,0,0,0,0	0,0,0,0,1	0,0,0,1,0	135	99	1	1.0	1.0,1.0,1.0,1.0,NA	NA,NA,NA,0.0,1.0	0.5
99	"ENSG00000160223"	"ICOSLG"	chr21	-	44236866	44237217	44235271	44235562	44238447	44238488	99	0,0,1,1,0	2,0,0,1,1	0,0,0,0,0	0,0,0,2,1	198	99	1	1.0	0.0,NA,1.0,0.333,0.0	NA,NA,NA,0.0,0.0	0.333
100	"ENSG00000160223"	"ICOSLG"	chr21	-	44236866	44237217	44235271	44235562	44240803	44240840	100	0,0,1,2,14	0,0,0,0,0	0,0,0,0,0	0,0,0,1,0	198	99	1	1.0	NA,NA,1.0,1.0,1.0	NA,NA,NA,0.0,NA	1.0
101	"ENSG00000160223"	"ICOSLG"	chr21	-	44238447	44238488	44235271	44235562	44240803	44240840	101	1,0,0,1,1	0,0,0,0,0	0,0,0,2,1	0,0,0,1,0	140	99	1	1.0	1.0,NA,NA,1.0,1.0	NA,NA,NA,0.586,1.0	0.207
103	"ENSG00000241945"	"PWP2"	chr21	+	44108983	44109096	44107372	44107434	44113752	44113847	103	5,11,4,2,0	0,0,2,1,0	2,2,1,0,0	0,0,0,0,0	198	99	1	1.0	1.0,1.0,0.5,0.5,NA	1.0,1.0,1.0,NA,NA	-0.25
105	"ENSG00000241945"	"PWP2"	chr21	+	44118762	44118833	44117819	44117963	44119386	44119523	105	0,9,0,0,0	0,0,0,0,4	0,3,0,0,0	0,0,0,0,0	170	99	1	1.0	NA,1.0,NA,NA,0.0	NA,1.0,NA,NA,NA	-0.5
107	"ENSG00000160216"	"AGPAT3"	chr21	+	43903956	43904019	43865222	43865345	43959633	43959859	107	1,1,1,2,1	0,0,0,0,0	4,6,2,7,8	0,6,0,0,0	162	99	0.113167102622	0.9939890648910505	1.0,1.0,1.0,1.0,1.0	1.0,0.379,1.0,1.0,1.0	0.124
108	"ENSG00000160216"	"AGPAT3"	chr21	+	43903956	43904019	43867241	43867346	43959633	43959859	108	0,1,1,3,1	0,0,0,0,0	4,5,1,6,6	0,0,1,0,0	162	99	1	1.0	NA,1.0,1.0,1.0,1.0	1.0,1.0,0.379,1.0,1.0	0.124
109	"ENSG00000160216"	"AGPAT3"	chr21	+	43903956	43904019	43882543	43882615	43959633	43959859	109	0,1,1,2,1	0,0,0,0,1	4,5,1,6,6	0,0,0,0,0	162	99	1	1.0	NA,1.0,1.0,1.0,0.379	1.0,1.0,1.0,1.0,1.0	-0.155
112	"ENSG00000160216"	"AGPAT3"	chr21	+	43959633	43959859	43865222	43865345	43967945	43968005	112	1,4,2,8,4	0,0,0,0,0	15,32,18,15,28	0,0,2,0,1	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.818,1.0,0.933	0.05
113	"ENSG00000160216"	"AGPAT3"	chr21	+	43959633	43959859	43882543	43882615	43967945	43968005	113	1,4,2,8,5	0,0,0,0,0	15,26,18,15,28	0,0,1,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.9,1.0,1.0	0.02
114	"ENSG00000160216"	"AGPAT3"	chr21	+	43960631	43960779	43959782	43959859	43967945	43968115	114	3,3,2,1,0	1,4,2,8,4	2,4,2,2,1	15,26,18,15,28	198	99	0.153025540829	1.0	0.6,0.273,0.333,0.059,0.0	0.062,0.071,0.053,0.062,0.018	0.2
115	"ENSG00000160216"	"AGPAT3"	chr21	+	43970652	43970806	43969117	43969279	43971387	43971490	115	8,16,9,9,7	0,0,0,0,0	33,37,54,45,45	0,0,1,0,0	198	99	1	1.0	1.0,1.0,1.0,1.0,1.0	1.0,1.0,0.964,1.0,1.0	0.007
